,Unnamed: 0,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,lon,start,end,delta,start_img,sat_lats,sat_lons,start_img_available_in_api
0,0,233020,"Fournaise, Piton de la",22343,Confirmed Eruption,,2020,2,10,2020,2,16,-21.244,55.708,2020-02-10,2020-02-16,6 days 00:00:00.000000000,no-img,0,0,0
1,1,345020,Rincon de la Vieja,22346,Confirmed Eruption,,2020,1,31,2020,1,31,10.83,-85.324,2020-01-31,2020-01-31,0 days 00:00:00.000000000,no-img,0,0,0
2,2,353010,Fernandina,22347,Confirmed Eruption,,2020,1,12,2020,1,12,-0.37,-91.55,2020-01-12,2020-01-12,0 days 00:00:00.000000000,no-img,0,0,0
3,3,273070,Taal,22344,Confirmed Eruption,,2020,1,12,2020,1,22,14.002,120.993,2020-01-12,2020-01-22,10 days 00:00:00.000000000,no-img,0,0,0
4,4,282050,Kuchinoerabujima,22345,Confirmed Eruption,,2020,1,11,2020,2,13,30.443,130.217,2020-01-11,2020-02-13,33 days 00:00:00.000000000,no-img,0,0,0
5,5,241040,White Island,22338,Confirmed Eruption,2.0,2019,12,9,2019,12,9,-37.52,177.18,2019-12-09,2019-12-09,0 days 00:00:00.000000000,no-img,0,0,0
6,6,311060,Semisopochnoi,22341,Confirmed Eruption,,2019,12,7,2020,2,16,51.93,179.58,2019-12-07,2020-02-16,71 days 00:00:00.000000000,no-img,0,0,0
7,7,284096,Nishinoshima,22340,Confirmed Eruption,1.0,2019,12,5,2020,2,15,27.247,140.874,2019-12-05,2020-02-15,72 days 00:00:00.000000000,no-img,0,0,0
8,8,311240,Cleveland,22342,Uncertain Eruption,,2019,11,7,2019,12,7,52.825,-169.94400000000002,2019-11-07,2019-12-07,30 days 00:00:00.000000000,no-img,0,0,0
9,9,282060,Kikai,22339,Confirmed Eruption,,2019,11,2,2020,2,11,30.793000000000003,130.305,2019-11-02,2020-02-11,101 days 00:00:00.000000000,no-img,0,0,0
10,10,300260,Klyuchevskoy,22335,Confirmed Eruption,,2019,10,24,2020,2,19,56.056000000000004,160.642,2019-10-24,2020-02-19,118 days 00:00:00.000000000,no-img,0,0,0
11,11,243070,Lateiki,22334,Confirmed Eruption,1.0,2019,10,13,2019,10,22,-19.18,-174.87,2019-10-13,2019-10-22,9 days 00:00:00.000000000,no-img,0,0,0
12,12,283110,Asamayama,22326,Confirmed Eruption,,2019,8,7,2019,8,25,36.406,138.523,2019-08-07,2019-08-25,18 days 00:00:00.000000000,no-img,0,0,0
13,13,357090,Copahue,22336,Confirmed Eruption,,2019,8,2,2019,11,12,-37.856,-71.183,2019-08-02,2019-11-12,102 days 00:00:00.000000000,no-img,0,0,0
14,14,263090,Tangkuban Parahu,22325,Confirmed Eruption,,2019,7,26,2019,9,17,-6.77,107.6,2019-07-26,2019-09-17,53 days 00:00:00.000000000,no-img,0,0,0
15,15,311360,Shishaldin,22330,Confirmed Eruption,,2019,7,23,2020,1,28,54.756,-163.97,2019-07-23,2020-01-28,189 days 00:00:00.000000000,no-img,0,0,0
16,16,351020,"Ruiz, Nevado del",22329,Confirmed Eruption,,2019,7,23,2019,10,4,4.8919999999999995,-75.324,2019-07-23,2019-10-04,73 days 00:00:00.000000000,no-img,0,0,0
17,17,311060,Semisopochnoi,22328,Confirmed Eruption,,2019,7,16,2019,8,24,51.93,179.58,2019-07-16,2019-08-24,39 days 00:00:00.000000000,no-img,0,0,0
18,18,252120,Ulawun,22319,Confirmed Eruption,,2019,6,26,2019,10,5,-5.05,151.33,2019-06-26,2019-10-05,101 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/06/26/thumbs/epic_1b_20190626001751.jpg,19.54834,179.216309,22
19,19,354020,Ubinas,22324,Confirmed Eruption,,2019,6,24,2019,12,24,-16.355,-70.903,2019-06-24,2019-12-24,183 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/06/24/thumbs/epic_1b_20190624041139.jpg,19.943848,121.325684,19
20,20,290250,Raikoke,22321,Confirmed Eruption,,2019,6,22,2019,7,1,48.292,153.25,2019-06-22,2019-07-01,9 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/06/22/thumbs/epic_1b_20190622004555.jpg,20.357666,173.430176,22
21,21,233020,"Fournaise, Piton de la",22318,Confirmed Eruption,,2019,6,11,2019,10,27,-21.244,55.708,2019-06-11,2019-10-27,138 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/06/11/thumbs/epic_1b_20190611003634.jpg,22.631836,178.857422,22
22,22,311120,Great Sitkin,22322,Confirmed Eruption,,2019,6,1,2019,6,7,52.076,-176.13,2019-06-01,2019-06-07,6 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/06/01/thumbs/epic_1b_20190601004554.jpg,24.294434,177.663574,22
23,23,290240,Sarychev Peak,22320,Confirmed Eruption,2.0,2019,5,16,2019,10,7,48.092,153.2,2019-05-16,2019-10-07,144 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/05/16/thumbs/epic_1b_20190516002712.jpg,25.554199,-177.890625,21
24,24,341040,Colima,22323,Confirmed Eruption,,2019,5,11,2019,7,12,19.514,-103.62,2019-05-11,2019-07-12,62 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/05/11/thumbs/epic_1b_20190511010437.jpg,25.268555,171.97998,22
