,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,long,start,end,delta
0,233020,"Fournaise, Piton de la",22343,Confirmed Eruption,,2020,2,10,2020,2,16,-21.244,55.708,2020-02-10,2020-02-16,6 days 00:00:00.000000000
1,345020,Rincon de la Vieja,22346,Confirmed Eruption,,2020,1,31,2020,1,31,10.83,-85.324,2020-01-31,2020-01-31,0 days 00:00:00.000000000
2,353010,Fernandina,22347,Confirmed Eruption,,2020,1,12,2020,1,12,-0.37,-91.55,2020-01-12,2020-01-12,0 days 00:00:00.000000000
3,273070,Taal,22344,Confirmed Eruption,,2020,1,12,2020,1,22,14.002,120.993,2020-01-12,2020-01-22,10 days 00:00:00.000000000
4,282050,Kuchinoerabujima,22345,Confirmed Eruption,,2020,1,11,2020,2,13,30.443,130.217,2020-01-11,2020-02-13,33 days 00:00:00.000000000
5,241040,White Island,22338,Confirmed Eruption,2.0,2019,12,9,2019,12,9,-37.52,177.18,2019-12-09,2019-12-09,0 days 00:00:00.000000000
6,311060,Semisopochnoi,22341,Confirmed Eruption,,2019,12,7,2020,2,16,51.93,179.58,2019-12-07,2020-02-16,71 days 00:00:00.000000000
7,284096,Nishinoshima,22340,Confirmed Eruption,1.0,2019,12,5,2020,2,15,27.247,140.874,2019-12-05,2020-02-15,72 days 00:00:00.000000000
8,311240,Cleveland,22342,Uncertain Eruption,,2019,11,7,2019,12,7,52.825,-169.944,2019-11-07,2019-12-07,30 days 00:00:00.000000000
9,282060,Kikai,22339,Confirmed Eruption,,2019,11,2,2020,2,11,30.793,130.305,2019-11-02,2020-02-11,101 days 00:00:00.000000000
10,300260,Klyuchevskoy,22335,Confirmed Eruption,,2019,10,24,2020,2,19,56.056,160.642,2019-10-24,2020-02-19,118 days 00:00:00.000000000
11,243070,Lateiki,22334,Confirmed Eruption,1.0,2019,10,13,2019,10,22,-19.18,-174.87,2019-10-13,2019-10-22,9 days 00:00:00.000000000
12,283110,Asamayama,22326,Confirmed Eruption,,2019,8,7,2019,8,25,36.406,138.523,2019-08-07,2019-08-25,18 days 00:00:00.000000000
13,357090,Copahue,22336,Confirmed Eruption,,2019,8,2,2019,11,12,-37.856,-71.183,2019-08-02,2019-11-12,102 days 00:00:00.000000000
14,263090,Tangkuban Parahu,22325,Confirmed Eruption,,2019,7,26,2019,9,17,-6.77,107.6,2019-07-26,2019-09-17,53 days 00:00:00.000000000
15,311360,Shishaldin,22330,Confirmed Eruption,,2019,7,23,2020,1,28,54.756,-163.97,2019-07-23,2020-01-28,189 days 00:00:00.000000000
16,351020,"Ruiz, Nevado del",22329,Confirmed Eruption,,2019,7,23,2019,10,4,4.892,-75.324,2019-07-23,2019-10-04,73 days 00:00:00.000000000
17,311060,Semisopochnoi,22328,Confirmed Eruption,,2019,7,16,2019,8,24,51.93,179.58,2019-07-16,2019-08-24,39 days 00:00:00.000000000
18,252120,Ulawun,22319,Confirmed Eruption,,2019,6,26,2019,10,5,-5.05,151.33,2019-06-26,2019-10-05,101 days 00:00:00.000000000
19,354020,Ubinas,22324,Confirmed Eruption,,2019,6,24,2019,12,24,-16.355,-70.903,2019-06-24,2019-12-24,183 days 00:00:00.000000000
20,290250,Raikoke,22321,Confirmed Eruption,,2019,6,22,2019,7,1,48.292,153.25,2019-06-22,2019-07-01,9 days 00:00:00.000000000
21,233020,"Fournaise, Piton de la",22318,Confirmed Eruption,,2019,6,11,2019,10,27,-21.244,55.708,2019-06-11,2019-10-27,138 days 00:00:00.000000000
22,311120,Great Sitkin,22322,Confirmed Eruption,,2019,6,1,2019,6,7,52.076,-176.13,2019-06-01,2019-06-07,6 days 00:00:00.000000000
23,290240,Sarychev Peak,22320,Confirmed Eruption,2.0,2019,5,16,2019,10,7,48.092,153.2,2019-05-16,2019-10-07,144 days 00:00:00.000000000
24,341040,Colima,22323,Confirmed Eruption,,2019,5,11,2019,7,12,19.514,-103.62,2019-05-11,2019-07-12,62 days 00:00:00.000000000
25,282110,Asosan,22317,Confirmed Eruption,,2019,4,16,2020,2,17,32.884,131.104,2019-04-16,2020-02-17,307 days 00:00:00.000000000
26,300260,Klyuchevskoy,22310,Confirmed Eruption,,2019,4,9,2019,7,2,56.056,160.642,2019-04-09,2019-07-02,84 days 00:00:00.000000000
27,352090,Sangay,22312,Confirmed Eruption,,2019,3,26,2020,2,19,-2.005,-78.341,2019-03-26,2020-02-19,330 days 00:00:00.000000000
28,344020,San Cristobal,22311,Confirmed Eruption,,2019,3,4,2019,3,4,12.702,-87.004,2019-03-04,2019-03-04,0 days 00:00:00.000000000
29,233020,"Fournaise, Piton de la",22307,Confirmed Eruption,,2019,2,18,2019,3,10,-21.244,55.708,2019-02-18,2019-03-10,20 days 00:00:00.000000000
30,263310,Tengger Caldera,22306,Confirmed Eruption,2.0,2019,2,18,2019,7,28,-7.942,112.95,2019-02-18,2019-07-28,160 days 00:00:00.000000000
31,300130,Karymsky,22309,Confirmed Eruption,,2019,2,16,2019,9,24,54.049,159.443,2019-02-16,2019-09-24,220 days 00:00:00.000000000
32,345040,Poas,22303,Confirmed Eruption,,2019,2,7,2019,9,30,10.2,-84.233,2019-02-07,2019-09-30,235 days 00:00:00.000000000
33,261080,Sinabung,22316,Confirmed Eruption,,2019,2,6,2019,6,9,3.17,98.392,2019-02-06,2019-06-09,123 days 00:00:00.000000000
34,256010,Tinakula,22313,Confirmed Eruption,2.0,2018,12,8,2020,2,18,-10.386,165.804,2018-12-08,2020-02-18,437 days 00:00:00.000000000
35,267020,Karangetang,22294,Confirmed Eruption,2.0,2018,11,25,2020,2,19,2.781,125.407,2018-11-25,2020-02-19,451 days 00:00:00.000000000
36,357040,Planchon-Peteroa,22297,Confirmed Eruption,1.0,2018,11,7,2019,5,7,-35.223,-70.568,2018-11-07,2019-05-07,181 days 00:00:00.000000000
